新文件名,重命名前文件名,恢复的原文件名,发表期刊,标题元数据,DOI
TR_Propagation+1+Applied_Energy.pdf,热失控传播行为1.pdf,,Applied Energy,Heating position effect on internal thermal runaway propagation in large-format lithium iron phosphate battery,
TR_Propagation+2+Applied_Energy.pdf,热失控传播行为2.pdf,,Applied Energy,Experimentally exploring prevention of thermal runaway propagation of large-format prismatic lithium-ion battery module,
TR_Propagation+3+Applied_Energy.pdf,热失控传播行为3.pdf,,Applied Energy,Data-driven early warning strategy for thermal runaway propagation in Lithium-ion battery modules with variable state of charge,
TR_Propagation+4+Applied_Energy.pdf,热失控传播行为4.pdf,,Applied Energy,Study on thermal runaway propagation inhibition of battery module by flame-retardant phase change material combined with aerogel felt,
TR_Propagation+5+Applied_Energy.pdf,热失控传播行为5.pdf,,Applied Energy,A reduced-order thermal runaway network model for predicting thermal propagation of lithium-ion batteries in large-scale power systems,
TR_Propagation+6+eTransportation.pdf,热失控传播行为6.pdf,,eTransportation,Thermal runaway propagation in automotive lithium-ion batteries with NMC-811 and LFP cathodes: Safety requirements and impact on system integration,
TR_Propagation+7+Journal_of_Energy_Chemistry.pdf,热失控传播行为7.pdf,,Journal of Energy Chemistry,Thermal runaway propagation behavior of the Cell-to-Pack battery system,
TR_Propagation+8+Energy_andamp;_Environmental_Science.pdf,热失控传播行为8.pdf,,Energy &amp; Environmental Science,Quantitative spatiotemporal mapping of thermal runaway propagation rates in lithium-ion cells using cross-correlated Gabor filtering,
